age,workclass,education,marital-status,occupation,race,sex,weekly_worked_hours,native-country,gross_income,capital_gains/loss
42, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male,40, United-States, >50K,5178
43, Private, 11th, Married-civ-spouse, Transport-moving, White, Male,40, United-States, <=50K,-2042
45, Private, Bachelors, Divorced, Exec-managerial, White, Male,40, United-States, <=50K,-1408
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male,40, United-States, <=50K,5013
30, Private, Bachelors, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K,2407
44, Private, HS-grad, Divorced, Craft-repair, White, Female,40, United-States, >50K,14344
30, Private, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female,35, Other, <=50K,-1573
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7688
17, Other, 10th, Never-married, Other, White, Female,32, United-States, <=50K,34095
28, Private, Some-college, Married-civ-spouse, Sales, White, Female,25, United-States, <=50K,4064
20, Private, Some-college, Never-married, Adm-clerical, White, Female,28, United-States, <=50K,-1719
24, Private, HS-grad, Never-married, Other-service, White, Female,40, United-States, <=50K,-1762
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male,35, United-States, <=50K,4386
45, Private, Assoc-voc, Never-married, Prof-specialty, White, Female,40, United-States, >50K,-1564
64, Private, 11th, Married-civ-spouse, Craft-repair, White, Male,40, United-States, <=50K,-2179
71, Self-emp-not-inc, Some-college, Separated, Sales, Black, Male,2, United-States, <=50K,-1816
27, Private, HS-grad, Never-married, Other-service, White, Male,40, United-States, <=50K,-1980
51, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,-1977
35, Private, Masters, Married-civ-spouse, Prof-specialty, White, Male,40, United-States, >50K,7298
26, Private, Masters, Never-married, Prof-specialty, White, Female,40, United-States, <=50K,-1876
42, Local-gov, Some-college, Never-married, Prof-specialty, White, Female,40, United-States, <=50K,-1340
36, Private, Bachelors, Married-civ-spouse, Other-service, Black, Male,36, United-States, >50K,7298
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White, Female,35, United-States, >50K,15024
90, Private, HS-grad, Never-married, Other-service, Black, Male,40, United-States, <=50K,-2206
35, Private, 11th, Separated, Transport-moving, Black, Male,40, United-States, <=50K,3674
38, Private, Some-college, Divorced, Craft-repair, White, Male,40, United-States, <=50K,-1741
59, Private, Some-college, Married-civ-spouse, Sales, White, Male,40, United-States, <=50K,4064
17, Private, 9th, Never-married, Other-service, White, Male,24, United-States, <=50K,1055
44, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,7298
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White, Female,48, United-States, >50K,7298
42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, White, Male,40, United-States, >50K,5178
57, Federal-gov, Masters, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,15024
39, Other, Masters, Married-civ-spouse, Other, Asian-Pac-Islander, Female,40, Other, <=50K,3464
48, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male,40, United-States, >50K,7688
55, Private, HS-grad, Married-civ-spouse, Sales, White, Male,40, United-States, >50K,4386
